vaultId, timestamp, time, position value, min collateral
15 , 1652335003 , 5/12/2022, 2:56:43 PM , 174.95077561743017 , 200
15 , 1652335038 , 5/12/2022, 2:57:18 PM , 141.34217706304435 , 200
15 , 1652335141 , 5/12/2022, 2:59:01 PM , 171.28581731390784 , 200
15 , 1652335206 , 5/12/2022, 3:00:06 PM , 179.7574029976455 , 200
15 , 1652335240 , 5/12/2022, 3:00:40 PM , 186.08400537399973 , 200
15 , 1652335271 , 5/12/2022, 3:01:11 PM , 190.67142201988497 , 200
15 , 1652335376 , 5/12/2022, 3:02:56 PM , 187.50032141377653 , 200
15 , 1652335526 , 5/12/2022, 3:05:26 PM , 192.3848996822834 , 200
15 , 1652348237 , 5/12/2022, 6:37:17 PM , 197.25276986856863 , 200
15 , 1652348312 , 5/12/2022, 6:38:32 PM , 188.2015821164374 , 200
15 , 1652348348 , 5/12/2022, 6:39:08 PM , 182.74388369590235 , 200
19 , 1651167231 , 4/29/2022, 2:33:51 AM , 217.15224786297043 , 249.47371603403764
19 , 1651230998 , 4/29/2022, 8:16:38 PM , 336.4916514169546 , 339.8090634136001
19 , 1651231186 , 4/29/2022, 8:19:46 PM , 259.52257922410166 , 336.77789351789784
19 , 1652253437 , 5/11/2022, 4:17:17 PM , 199.84825957360675 , 200
19 , 1652253437 , 5/11/2022, 4:17:17 PM , 193.54961008231675 , 200
19 , 1652253437 , 5/11/2022, 4:17:17 PM , 187.00120699469943 , 200
19 , 1652332363 , 5/12/2022, 2:12:43 PM , 194.2994486069585 , 200
19 , 1652332363 , 5/12/2022, 2:12:43 PM , 190.35560835440828 , 200
19 , 1652332483 , 5/12/2022, 2:14:43 PM , 187.69842748998764 , 200
19 , 1652332483 , 5/12/2022, 2:14:43 PM , 190.2543684006519 , 200
19 , 1652332483 , 5/12/2022, 2:14:43 PM , 175.6796009112009 , 200
19 , 1652332552 , 5/12/2022, 2:15:52 PM , 163.7902410437431 , 200
19 , 1652332625 , 5/12/2022, 2:17:05 PM , 194.7938996822479 , 200
19 , 1652332677 , 5/12/2022, 2:17:57 PM , 198.55575795930622 , 200
19 , 1652332677 , 5/12/2022, 2:17:57 PM , 196.21110068617077 , 200
19 , 1652335038 , 5/12/2022, 2:57:18 PM , 188.35936256340898 , 200
19 , 1652335141 , 5/12/2022, 2:59:01 PM , 199.74874776903687 , 200
19 , 1652348348 , 5/12/2022, 6:39:08 PM , 199.87068207713241 , 200
19 , 1652354606 , 5/12/2022, 8:23:26 PM , 194.82404833996105 , 200
19 , 1652354649 , 5/12/2022, 8:24:09 PM , 180.7936121611537 , 200
